Customer ID,Recency,Frequency,Monetary,Churned,Frequency_log,Monetary_log,Cluster,Segment
12346.0,326,17,-64.67999999999302,1,2.8903717578961645,0.0,3,At Risk
12347.0,2,8,5633.32,0,2.1972245773362196,8.63663174483544,0,VIP
12348.0,75,5,2019.4,0,1.791759469228055,7.6110507905938976,2,Occasional
12349.0,19,5,4404.54,0,1.791759469228055,8.390618118825207,0,VIP
12350.0,310,1,334.4,1,0.6931471805599453,5.815323849389109,1,Dormant
12351.0,375,1,300.93,1,0.6931471805599453,5.710195202428391,1,Dormant
12352.0,36,13,1889.21,0,2.6390573296152584,7.544443212992417,0,VIP
12353.0,204,2,406.76,1,1.0986122886681098,6.010678766031786,2,Occasional
12354.0,232,1,1079.4,1,0.6931471805599453,6.985086621918461,2,Occasional
12355.0,214,2,947.61,1,1.0986122886681098,6.854997755239065,2,Occasional
12356.0,23,6,6373.68,0,1.9459101490553132,8.76008917268833,0,VIP
12357.0,33,3,18287.66,0,1.3862943611198906,9.814036474622236,0,VIP
12358.0,2,5,3887.07,0,1.791759469228055,8.265668169533484,0,VIP
12359.0,8,14,8714.89,0,2.70805020110221,9.072903075516766,0,VIP
12360.0,52,9,4212.89,0,2.302585092994046,8.346141490558791,0,VIP
12361.0,287,4,511.25,1,1.6094379124341003,6.238812787119009,2,Occasional
12362.0,3,14,5284.58,0,2.70805020110221,8.57273763684292,0,VIP
12363.0,110,2,552.0,1,1.0986122886681098,6.315358001522335,2,Occasional
12364.0,8,4,1313.1,0,1.6094379124341003,7.180907299649593,2,Occasional
12365.0,291,3,320.69,1,1.3862943611198906,5.773588348900164,1,Dormant
12366.0,634,1,500.24,1,0.6931471805599453,6.217085028297085,1,Dormant
12367.0,4,1,168.9,0,0.6931471805599453,5.135210028677887,2,Occasional
12368.0,628,1,917.7,1,0.6931471805599453,6.822959627277421,1,Dormant
12369.0,413,3,1791.15,1,1.3862943611198906,7.491171295388921,1,Dormant
12370.0,51,7,4320.31,0,2.0794415416798357,8.371313876010715,0,VIP
12371.0,45,5,4067.38,0,1.791759469228055,8.31100016480189,0,VIP
12372.0,72,3,1298.04,0,1.3862943611198906,7.169380809114136,2,Occasional
12373.0,311,3,1127.65,1,1.3862943611198906,7.028777507229587,2,Occasional
12374.0,25,4,2989.2200000000003,0,1.6094379124341003,8.003102242273277,2,Occasional
12375.0,3,3,455.42,0,1.3862943611198906,6.1234134382372645,2,Occasional
12376.0,390,2,503.15,1,1.0986122886681098,6.222873842839224,1,Dormant
12377.0,315,4,3426.32,1,1.6094379124341003,8.139533893646055,2,Occasional
12378.0,130,2,5416.32,1,1.0986122886681098,8.597356507200939,2,Occasional
12379.0,82,5,1618.27,0,1.791759469228055,7.389730709384001,2,Occasional
12380.0,22,15,7888.0,0,2.772588722239781,8.97322466309509,0,VIP
12381.0,5,6,1803.96,0,1.9459101490553132,7.49829370985661,2,Occasional
12382.0,682,1,-18.38,1,0.6931471805599453,0.0,3,At Risk
12383.0,185,6,1839.31,1,1.9459101490553132,7.517689314673032,2,Occasional
12384.0,29,3,566.16,0,1.3862943611198906,6.340641450869357,2,Occasional
12385.0,379,2,1923.4,1,1.0986122886681098,7.562369509825299,1,Dormant
12386.0,338,2,660.8,1,1.0986122886681098,6.4949633954875114,1,Dormant
12387.0,415,1,143.94,1,0.6931471805599453,4.976319863681136,1,Dormant
12388.0,16,8,3901.11,0,2.1972245773362196,8.269272711457157,0,VIP
12389.0,403,3,1433.33,1,1.3862943611198906,7.268453120207762,1,Dormant
12390.0,80,1,549.84,0,0.6931471805599453,6.311444385858925,2,Occasional
12391.0,22,7,2747.82,0,2.0794415416798357,7.918927007665679,0,VIP
12392.0,591,1,234.75000000000003,1,0.6931471805599453,5.462771921513567,1,Dormant
12393.0,72,7,2376.75,0,2.0794415416798357,7.773909941362495,0,VIP
12394.0,64,2,1272.48,0,1.0986122886681098,7.149508589545504,2,Occasional
12395.0,16,18,5046.92,0,2.9444389791664403,8.526731556234932,0,VIP
12396.0,674,1,931.43,1,0.6931471805599453,6.837794081676172,1,Dormant
12397.0,36,2,2409.9,0,1.0986122886681098,7.7877554007552545,2,Occasional
12398.0,46,1,1635.66,0,0.6931471805599453,7.400412858792405,2,Occasional
12399.0,119,7,1962.3,1,2.0794415416798357,7.582382009904704,0,VIP
12400.0,414,1,205.25,1,0.6931471805599453,5.32908902521479,1,Dormant
12401.0,303,1,84.3,1,0.6931471805599453,4.446174454497633,1,Dormant
12402.0,323,7,1244.15,1,2.0794415416798357,7.127011283569154,2,Occasional
12403.0,50,3,1001.36,0,1.3862943611198906,6.910112498555815,2,Occasional
12404.0,682,1,63.24,1,0.6931471805599453,4.162626069638506,1,Dormant
12405.0,149,1,1710.39,1,0.6931471805599453,7.445061184797548,2,Occasional
12406.0,22,7,6072.21,0,2.0794415416798357,8.711642574585087,0,VIP
12407.0,50,5,1708.12,0,1.791759469228055,7.4437338971514055,2,Occasional
12408.0,33,14,4279.64,0,2.70805020110221,8.361857810107221,0,VIP
12409.0,79,13,23090.47,0,2.6390573296152584,10.047218564245856,0,VIP
12410.0,301,4,1001.46,1,1.6094379124341003,6.910212258135312,2,Occasional
12411.0,410,1,346.9,1,0.6931471805599453,5.8519150821578965,1,Dormant
12412.0,75,8,2581.03,0,2.1972245773362196,7.856331190239167,0,VIP
12413.0,67,6,935.5,0,1.9459101490553132,6.842149521884143,2,Occasional
12414.0,217,8,692.41,1,2.1972245773362196,6.541621454837154,2,Occasional
12415.0,24,33,143269.29,0,3.5263605246161616,11.872488265035575,0,VIP
12416.0,657,1,202.56,1,0.6931471805599453,5.315960801720632,1,Dormant
12417.0,3,27,6708.21,0,3.332204510175204,8.81123648831016,0,VIP
12418.0,113,5,2016.95,1,1.791759469228055,7.609837423599662,2,Occasional
12419.0,386,2,503.01,1,1.0986122886681098,6.222596109144375,1,Dormant
12420.0,64,1,600.39,0,0.6931471805599453,6.3992436425478765,2,Occasional
12421.0,16,8,1092.83,0,2.1972245773362196,6.997440577854158,0,VIP
12422.0,96,21,4119.35,1,3.091042453358316,8.323693390191712,0,VIP
12423.0,1,11,2612.19,0,2.4849066497880004,7.86832697623342,0,VIP
12424.0,163,7,3289.78,1,2.0794415416798357,8.098879897726775,0,VIP
12425.0,78,3,1680.81,0,1.3862943611198906,7.427625873391348,2,Occasional
12426.0,195,3,1311.41,1,1.3862943611198906,7.17962042068608,2,Occasional
12427.0,12,5,1011.87,0,1.791759469228055,6.920543164325412,2,Occasional
12428.0,26,12,7877.2,0,2.5649493574615367,8.971854730362702,0,VIP
12429.0,9,9,7435.51,0,2.302585092994046,8.914156931750366,0,VIP
12430.0,43,1,256.4,0,0.6931471805599453,5.5506312951620265,2,Occasional
12431.0,36,33,10719.41,0,3.5263605246161616,9.27990468016208,0,VIP
12432.0,43,5,5059.32,0,1.791759469228055,8.529185001388596,0,VIP
12433.0,1,11,20428.86,0,2.4849066497880004,9.924752835120543,0,VIP
12434.0,85,5,1062.48,0,1.791759469228055,6.969301828633653,2,Occasional
12435.0,80,6,13925.93,0,1.9459101490553132,9.541579654832375,0,VIP
12436.0,100,1,509.01,1,0.6931471805599453,6.234430333369278,2,Occasional
12437.0,2,47,12394.85,0,3.871201010907891,9.425117018156786,0,VIP
12438.0,14,2,2906.85,0,1.0986122886681098,7.9751692554798295,2,Occasional
12439.0,683,3,1104.48,1,1.3862943611198906,7.008034908772475,1,Dormant
12440.0,457,3,768.15,1,1.3862943611198906,6.64528600900176,1,Dormant
12441.0,367,1,347.1,1,0.6931471805599453,5.8524897948173935,1,Dormant
12442.0,3,1,172.06,0,0.6931471805599453,5.153638355178593,2,Occasional
12443.0,732,1,485.31,1,0.6931471805599453,6.186846280636522,1,Dormant
12444.0,21,5,5005.46,0,1.791759469228055,8.518484357502437,0,VIP
12445.0,22,3,426.48,0,1.3862943611198906,6.057907503656696,2,Occasional
12446.0,58,1,1002.31,0,0.6931471805599453,6.9110598129904375,2,Occasional
12447.0,243,1,476.49,1,0.6931471805599453,6.168543217293113,2,Occasional
12448.0,44,1,449.45,0,0.6931471805599453,6.110247083097449,2,Occasional
12449.0,22,6,4835.89,0,1.9459101490553132,8.484027231195778,0,VIP
12450.0,156,7,666.95,1,2.0794415416798357,6.504213320435821,2,Occasional
12451.0,11,10,12546.53,0,2.3978952727983707,9.437279112440756,0,VIP
12452.0,17,3,428.57,0,1.3862943611198906,6.062784708354025,2,Occasional
12453.0,134,1,707.09,1,0.6931471805599453,6.562571204258897,2,Occasional
12454.0,53,9,4292.71,0,2.302585092994046,8.364906440061182,0,VIP
12455.0,73,10,5879.95,0,2.3978952727983707,8.679473592468364,0,VIP
12456.0,44,4,3153.89,0,1.6094379124341003,8.05670890907432,2,Occasional
12457.0,58,14,2472.31,0,2.70805020110221,7.813312613486552,0,VIP
12458.0,71,4,1777.49,0,1.6094379124341003,7.483519968656931,2,Occasional
12459.0,605,1,454.36,1,0.6931471805599453,6.121088314901487,1,Dormant
12460.0,456,1,326.65,1,0.6931471805599453,5.791945965485506,1,Dormant
12461.0,94,2,826.88,1,1.0986122886681098,6.718868216346018,2,Occasional
12462.0,2,4,1124.01,0,1.6094379124341003,7.025547203487903,2,Occasional
12463.0,46,7,1303.63,0,2.0794415416798357,7.1736747546517945,2,Occasional
12464.0,10,8,1212.05,0,2.1972245773362196,7.100893128209941,0,VIP
12465.0,8,3,733.89,0,1.3862943611198906,6.599720828148736,2,Occasional
12466.0,682,1,56.73,1,0.6931471805599453,4.055776969072842,1,Dormant
12467.0,386,2,0.0,1,1.0986122886681098,0.0,3,At Risk
12468.0,143,10,3624.55,1,2.3978952727983707,8.195761279917763,0,VIP
12469.0,523,2,3070.54,1,1.0986122886681098,8.029934343472139,1,Dormant
12470.0,690,1,211.95,1,0.6931471805599453,5.3610573963692225,1,Dormant
12471.0,2,129,37948.61,0,4.867534450455582,10.544014506091129,0,VIP
12472.0,31,37,16956.69,0,3.6375861597263857,9.738476697239257,0,VIP
12473.0,29,9,2848.23,0,2.302585092994046,7.954804061320141,0,VIP
12474.0,17,54,11966.45,0,4.007333185232471,9.389945743275902,0,VIP
12475.0,54,2,1149.64,0,1.0986122886681098,7.048073588295634,2,Occasional
12476.0,1,38,13715.62,0,3.6635616461296463,9.5263635152442,0,VIP
12477.0,23,12,20173.64,0,2.5649493574615367,9.912181649112775,0,VIP
12478.0,4,1,680.99,0,0.6931471805599453,6.525014994979364,2,Occasional
12479.0,4,3,477.3,0,1.3862943611198906,6.170238150686251,2,Occasional
12480.0,28,8,5435.1,0,2.1972245773362196,8.600817170981156,0,VIP
12481.0,23,18,12217.03,0,2.9444389791664403,9.410668008600378,0,VIP
12482.0,450,32,21893.53,1,3.4965075614664802,9.99399211291695,0,VIP
12483.0,17,27,4846.87,0,3.332204510175204,8.4862947122081,0,VIP
12484.0,33,16,6303.85,0,2.833213344056216,8.749074457473672,0,VIP
12485.0,529,1,708.1,1,0.6931471805599453,6.563996560309951,1,Dormant
12486.0,432,1,1037.28,1,0.6931471805599453,6.945320776868279,1,Dormant
12487.0,731,2,259.79999999999995,1,1.0986122886681098,5.563753830052498,1,Dormant
12488.0,10,3,1298.66,0,1.3862943611198906,7.169857970780942,2,Occasional
12489.0,336,1,334.93,1,0.6931471805599453,5.816902804925467,1,Dormant
12490.0,5,22,9818.64,0,3.1354942159291497,9.192139740798721,0,VIP
12491.0,39,1,460.4,0,0.6931471805599453,6.134265345739653,2,Occasional
12492.0,63,3,715.21,0,1.3862943611198906,6.573973420047142,2,Occasional
12493.0,166,3,416.79,1,1.3862943611198906,6.034978913938941,2,Occasional
12494.0,10,17,1743.52,0,2.8903717578961645,7.4642347251641485,0,VIP
12495.0,635,2,323.4,1,1.0986122886681098,5.781977322241258,1,Dormant
12496.0,620,2,54.09,1,1.0986122886681098,4.008968211484625,1,Dormant
12497.0,82,4,6211.75,0,1.6094379124341003,8.73435891104391,0,VIP
12498.0,21,3,403.7000000000001,0,1.3862943611198906,6.00314605188182,2,Occasional
12499.0,560,1,393.72,1,0.6931471805599453,5.9781766527810465,1,Dormant
12500.0,23,25,5872.31,0,3.258096538021482,8.67817363805594,0,VIP
12501.0,315,2,2089.68,1,1.0986122886681098,7.645244650892818,1,Dormant
12502.0,96,5,3723.87,1,1.791759469228055,8.222787230875806,0,VIP
12503.0,338,2,0.0,1,1.0986122886681098,0.0,3,At Risk
12504.0,18,6,411.0,0,1.9459101490553132,6.021023349349527,2,Occasional
12505.0,301,3,908.0,1,1.3862943611198906,6.812345094177479,2,Occasional
12506.0,233,1,73.5,1,0.6931471805599453,4.310799125385514,1,Dormant
12507.0,134,5,1797.31,1,1.791759469228055,7.494602613963119,2,Occasional
12508.0,26,2,398.27,0,1.0986122886681098,5.989637879766574,2,Occasional
12509.0,284,1,176.5,1,0.6931471805599453,5.178970608915471,1,Dormant
12510.0,143,16,3689.33,1,2.833213344056216,8.213471163930178,0,VIP
12511.0,415,2,3065.77,1,1.0986122886681098,8.02838016945351,1,Dormant
12512.0,66,2,138.03,0,1.0986122886681098,4.9346897371814515,2,Occasional
12513.0,85,2,586.79,0,1.0986122886681098,6.376369741250785,2,Occasional
